ID,dob,lname,fname,mname,sex,m_maiden
3,20090102,ALEXIEOON,JACOB,WILLIAM,M,DUNBURY
6,20090102,ALEXIE,JACK,THOMAS,M,OWEN
2,20090102,ALLEN-XAYAVO,TRUES,ANNA SOPHIE,F,XAYAVO
4,20090102,ANARUKKS,ROBERTA,BILL,F,ODOGWU
7,20090106,ANDERSON,SCOTT,WILLIAM,M,COOK
8,20090106,ANDERSON,MARLON,WADE,M,WHITE
1,20090106,ANDERSON,VERA,ANN,F,RUFF
5,20090101,AQUINO`TU,RILEY,CLAIRE,F,ERKINS
11,20090102,ASHCRAFT,LEO,TRAVIS,M,SMITH
9,20090101,BENSON,ISAIAH,CLARA,F,LEMON
14,20090112,BEEMAN,JEREMY,THOMAS,M,NICHOLAS
10,20090101,BENSON,MAKAYLA,CORA ROSE,F,AHNGA
18,20090110,BIEBER,ISAIAH,SPENCER,M,PIIKA
12,20090103,BON,JREAM,SUMMER,F,JACKSON
13,20090113,BRINDAC,JANESIA,GRACE,F,TRIMBLE
15,20090111,BRINK,ISABELLA,JADE,F,MCNDON
21,20090106,BRINKER,ENDER,SEBASTIAN,M,GARNER
16,20090105,BUCK-FASTER,HONEY,JANE,F,SAYSN
30,20090109,BURIN,EMANUAL,SEAN,M,RUNYAN
17,20090111,COCHRAN,BRIANNA,JEAN,F,BRINK
22,20090107,COLEBURT,REAINNA,FORNWRIGHT,F,INSKPE
36,20090109,CREWS,DAWSON,ROBERT,M,GEORGE
24,20090107,COLE,BREANNA,ANNE,F,WILLIAMS
37,20090112,DEMOFF,DAVIS,RICHARD,M,EDGAR
25,20090109,DRUES-MORE,MAKIA,LOUISE,F,MOORE
38,20090106,DUNBERY,COLTON,REX,M,HERN
26,20090111,DUNCAN,LETISHA,LOVELLA,F,ANDREW
27,20090111,ESCHOOK,KYLEE,MARIE,F,HUGHETT
28,20090112,EVON,HELEN,MARIE,F,CHOVIP
29,20090108,FLAGGWATER,FEODORA,MARIE,F,PALA
39,20090106,FORESTAL,CHRISTOPHER,RAY,M,WRIGHT
31,20090110,FRIMER,EMILY,NICOLE,F,ZASYUOW
32,20090113,GARZEL,ELAINA,NKIRU,F,WHITE
19,20090106,GIRL-SCOUT,ETHAN,SHAWNDALE PHYNXZ,M,LARSON
41,20090116,GOMEZ-CATAN,TUCKER,PETER,M,MIX
43,20090120,GREEN,SAWYER,PAUL,M,NELSON
33,20090104,GRIFFIN,DIANA,JIMMA,F,BOMBS
34,20090107,HALIM,CHEYENNE,ROSITA ,F,HAINES
45,20090115,HARRIS,SAMUEL,PATRICK,M,WALLS
